structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.1253,-19.66051391,0.0068,0.0037,0.0058
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.1082,-19.64341391,0.0068,0.0037,0.0060999999999999995
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.0912,-19.62641391,0.0068,0.0037,0.006200000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.0742,-19.60941391,0.0067,0.0037,0.0064
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.0571,-19.59231391,0.0066,0.0037999999999999996,0.006699999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.0401,-19.575313910000002,0.0063,0.0037,0.0069
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.0231,-19.55831391,0.006,0.0037,0.0071
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-14.006,-19.54121391,0.0058,0.0038,0.0074
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.989,-19.52421391,0.0055,0.0037999999999999996,0.0077
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.9719,-19.50711391,0.0055,0.0037999999999999996,0.008
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.9549,-19.49011391,0.0056,0.004,0.0085
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.9379,-19.473113910000002,0.0061,0.0042,0.0092
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.9208,-19.45601391,0.0069,0.0045,0.0099
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.9038,-19.43901391,0.0082,0.0049,0.0109
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.8868,-19.42201391,0.0099,0.0055,0.0121
