structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.9045,-18.9387847,0.0092,0.00625,0.016550000000000002
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.8874,-18.9216847,0.0093,0.0062,0.0167
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.8703,-18.9045847,0.0094,0.0062,0.01695
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.8532,-18.887484699999998,0.00955,0.00625,0.0172
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.8362,-18.8704847,0.00975,0.0063999999999999994,0.01755
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.8191,-18.8533847,0.01,0.006500000000000001,0.0179
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.802,-18.8362847,0.01035,0.006500000000000001,0.0182
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.7849,-18.8191847,0.0108,0.0066,0.018750000000000003
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.7678,-18.802084699999998,0.01145,0.006799999999999999,0.0195
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.7507,-18.7849847,0.01235,0.0072,0.0203
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.7336,-18.7678847,0.0136,0.007549999999999999,0.0214
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.7165,-18.7507847,0.015349999999999999,0.008199999999999999,0.022699999999999998
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.6994,-18.7336847,0.01765,0.00885,0.024349999999999997
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.6823,-18.7165847,0.020749999999999998,0.00975,0.0264
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.6652,-18.6994847,0.0247,0.0109,0.0291
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.6481,-18.6823847,0.02975,0.0124,0.03245
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.631,-18.6652847,0.036000000000000004,0.0143,0.03715
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.6139,-18.648184699999998,0.04375,0.016800000000000002,0.0434
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.5969,-18.6311847,0.05315,0.02,0.05145
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.5798,-18.6140847,0.06434999999999999,0.023849999999999996,0.0619
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.5627,-18.5969847,0.07725,0.0286,0.07435
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.5456,-18.5798847,0.09140000000000001,0.0338,0.0887
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.5285,-18.562784699999998,0.10585,0.0393,0.10389999999999999
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-13.5114,-18.5456847,0.1195,0.044700000000000004,0.11875
