structure,defect_atom_number,reference_atom_number,element,initial_distance_to_vacancy_A,relaxed_distance_to_vacancy_A,distance_change_A,total_displacement_A,radial_projection_A,motion_relative_to_vacancy,dx_A,dy_A,dz_A
vacancy_O2,1,1,Ga,2.078660470256452,2.134658430174634,0.055997959918181905,0.05790238086816396,0.05594578348092594,away,0.04215970253588057,-0.03427931656687781,-0.020004340728845865
vacancy_O2,5,5,Ga,2.078660500144124,2.13367312006781,0.05501261992368578,0.0569887178403387,0.05495938236752924,away,-0.045695160872443824,-0.03402764976401598,0.0013361457497896557
vacancy_O2,72,73,O,2.6177781221269822,2.5611419549508256,-0.056636167176156604,0.05666995159976683,-0.05663689832710489,toward,-0.0018705672972029164,0.05588566275243046,-0.009207447584871555
vacancy_O2,56,57,O,2.657860276981849,2.596247205290069,-0.061613071691779986,0.06244433969731227,-0.06163247168767623,toward,-0.040888737762735425,0.025047175029992014,-0.040000571338676245
vacancy_O2,60,61,O,2.657860298399579,2.5960305273853916,-0.06182977101418752,0.06265084198705462,-0.061848998401359115,toward,0.017671515674582482,0.025141370224260596,-0.05459630975346716
vacancy_O2,68,69,O,2.848251582106478,2.84015598552902,-0.008095596577458064,0.04929493314815277,-0.008510667311550342,toward,-0.01631341506825335,0.01953628766630672,-0.04221606787836885
vacancy_O2,64,65,O,2.8482532911273397,2.83931333117439,-0.008939959952949827,0.048962277043103006,-0.009346767468366548,toward,-0.006652859619701938,0.019312709580813554,-0.044497901981703177
vacancy_O2,34,34,O,2.894537459007019,2.892353604768965,-0.002183854238054117,0.004042135843073433,-0.0021858527685637463,toward,0.0022948076879982945,0.0015395996381215062,0.002949975051294336
vacancy_O2,38,38,O,2.8945374684019773,2.891900650136192,-0.0026368182657852124,0.003569897800781786,-0.002637818660460943,toward,0.00039220688112381945,0.001514575173551349,0.003208801351608987
vacancy_O2,41,41,O,2.9681324285791124,2.917852298695236,-0.05028012988387642,0.06194908033214046,-0.05050073949688718,toward,-0.03747394955648494,0.01092949515932933,0.0481034073034147
vacancy_O2,45,45,O,2.968132430325873,2.917429524723301,-0.050702905602571846,0.06230874190283121,-0.05092385172134572,toward,0.05604432236165317,0.010657024369691456,0.02505675717487279
vacancy_O2,52,53,O,3.04756735,3.0481150552496894,0.0005477052496893897,0.02206251713296247,0.0004678949247087881,away,-0.0029612586817726466,-0.01689560818075951,-0.013875303004408267
vacancy_O2,74,75,O,3.2035149796140745,3.1540019607898544,-0.0495130188242201,0.052568805144275865,-0.049561706007391675,toward,0.007520729343037113,-0.04299408011213327,0.02929892454949655
vacancy_O2,30,30,Ga,3.4095529043138897,3.415021137943746,0.005468233629856378,0.010649141065736969,0.005455988237460614,away,-0.0018269327564693976,0.004111247251771187,-0.009652158731398302
vacancy_O2,21,21,Ga,3.5764652374397525,3.5939552168267435,0.017489979386990928,0.04512851595425181,0.01724802490702476,away,-0.01041349402874607,-0.00011069413072424746,-0.04391047530095585
vacancy_O2,13,13,Ga,3.652592364349704,3.649091458332626,-0.003500906017078087,0.03967686991507702,-0.0037147264365909984,toward,-0.0053866214386341016,0.03404115259567236,-0.019658032599752715
vacancy_O2,42,42,O,3.9389591305445517,3.9263474741252926,-0.012611656419259099,0.01954053377694394,-0.012639935283707132,toward,-0.004419038609572055,0.011119813849060918,-0.01544843998652393
vacancy_O2,76,77,O,4.017514057246888,4.04600719773299,0.028493140486101964,0.06354607610850685,0.02809161796644671,away,0.01393696033984756,-0.03199509625865436,0.05310535510354019
vacancy_O2,61,62,O,4.145170848714301,4.140022300187144,-0.005148548527157182,0.008430115914137405,-0.005153923372251693,toward,0.000324932215060909,0.007429289953365883,0.0039707586391299465
vacancy_O2,29,29,Ga,4.236083903070303,4.212369971443199,-0.023713931627104223,0.024452807904857772,-0.02371813235376806,toward,0.0007945667536477946,0.007022758043400789,-0.023409172295699006
vacancy_O2,25,25,Ga,4.236086029233969,4.21270195821283,-0.023384071021139263,0.024164496286552675,-0.02338845101991513,toward,-0.011221898009509772,0.006914429217445036,-0.0202529640903232
vacancy_O2,19,19,Ga,4.342217200215263,4.33274022854499,-0.009476971670272505,0.019036366092780404,-0.009508357737506927,toward,0.0036428222725775946,0.009681054089564907,0.015980934629229
vacancy_O2,31,31,Ga,4.418858114878917,4.431352792760797,0.012494677881879745,0.02037002759378006,0.012465391916810339,away,-0.002425396762085116,0.0189826821755589,-0.006979487956830819
vacancy_O2,27,27,Ga,4.41886029244835,4.431375227235624,0.012514934787273724,0.020100278661493304,0.012486941414191178,away,-0.00043802327739513394,0.01868290911821119,-0.007401232651309126
vacancy_O2,78,79,O,4.421557006262276,4.398679383531175,-0.022877622731100722,0.05431770015817503,-0.02315207660845882,toward,0.012606880445751863,-0.019352244567277216,0.0491626865224859
vacancy_O2,14,14,Ga,4.565969535365657,4.525853762627167,-0.04011577273848932,0.047962010402879764,-0.04019144989907186,toward,0.0234682298234702,0.01978728593735561,0.03685186489273045
vacancy_O2,10,10,Ga,4.565969541880733,4.52572484708575,-0.04024469479498283,0.04811580984193756,-0.040320855585286225,toward,-0.0039512591866191545,0.019860902032633677,0.04364703057523822
vacancy_O2,26,26,Ga,4.573044554398728,4.584414643753332,0.01137008935460404,0.018745683612299443,0.011345803376244275,away,-0.004057825172719276,0.00047400174279324547,-0.018295082161824437
vacancy_O2,7,7,Ga,4.673066210176493,4.610863371478498,-0.0622028386979947,0.06316570801130247,-0.06221575457817407,toward,0.01664713843453822,-0.06082474728645608,0.003623474582385745
vacancy_O2,3,3,Ga,4.673066328650409,4.6108060085781375,-0.062260320072271114,0.06326567546383334,-0.06227382279484408,toward,-0.012641630713626208,-0.06102186400841466,0.010911781602191927
vacancy_O2,33,33,O,4.721365702467742,4.7088183028736355,-0.012547399594106778,0.012655811414263987,-0.012547688951693182,toward,-0.0023986514617357056,0.00611743893255636,-0.010816329073441298
vacancy_O2,35,35,O,4.939623116921183,4.929641111925668,-0.009982004995515048,0.013468706063300218,-0.009990281499343364,toward,0.0007310413360072485,-0.013417189574405013,0.0009223044557553726
vacancy_O2,69,70,O,4.96104371096425,5.029262110122062,0.06821839915781158,0.07141163170056353,0.06817346192439187,away,-0.01738255414166995,0.005714464915278261,-0.0690276237775928
vacancy_O2,43,43,O,4.968690508353271,4.928775740603167,-0.03991476775010394,0.042035333020239186,-0.039932255309179834,toward,-0.0032543214386505214,0.041908905160326755,0.00014927276740245012
vacancy_O2,47,47,O,4.968690633325308,4.928930567778143,-0.03976006554716527,0.04206345724244731,-0.03977903147166876,toward,0.0022557782351397887,0.04198395655775024,-0.0012622565103828215
vacancy_O2,71,72,O,4.979298394327862,4.995298951417971,0.01600055709010917,0.03679953783755148,0.0158902816987888,away,-0.008315718163934279,0.009330238537269653,-0.03461215776736615
vacancy_O2,46,46,O,4.980267704395262,4.970023452876519,-0.010244251518742864,0.013841181779529784,-0.010252949206196314,toward,-0.004031229122941446,-0.0007510084463104549,-0.013219814337800147
vacancy_O2,70,71,O,5.029093163012888,4.983077171907158,-0.046015991105730514,0.06047542819419177,-0.04616908093006988,toward,-0.011342490644389516,0.014971458352349268,-0.0574846132113338
