structure,coordination_type,reference_ga_atom_number,defect_ga_atom_number,system,orbital,energy_minus_fermi_eV,pdos_states_per_eV
vacancy_O3,tetrahedral,27,27,pristine,s,-15.983754770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.96675477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.94975477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.93275477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.915754770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.89875477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.88175477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.864754770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.84775477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.83075477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.813754770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.79675477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.77975477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.76275477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.74575477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.72875477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.71175477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.694754770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.67775477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.66075477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.643754770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.62675477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.60975477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.59275477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.57565477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.55865477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.541654770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.52465477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.50765477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.49065477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.47365477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.45665477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.43965477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.422654770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.40565477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.38865477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.371654770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.35465477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.33765477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.32065477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.30365477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.28665477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.26965477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.252654770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.23565477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.21865477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.201654770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.18465477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.16765477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.150554770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.13355477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.11655477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.099554770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.08255477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.06555477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.04855477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.03155477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-15.01455477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.99755477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.980554770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.96355477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.94655477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.929554770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.91255477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.89555477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.878554770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.86155477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.84455477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.82755477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.810554770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.79355477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.77655477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.759554770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.74255477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.72545477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.708454770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.69145477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.67445477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.657454770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.64045477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.62345477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.606454770000001,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.58945477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-14.57245477,0.0
